Team10 : Team13 , 6 : 0
Team16 : Team9 , 6 : 9
Team10 : Team19 , 10 : 1
Team14 : Team20 , 7 : 3
Team10 : Team6 , 3 : 8
Team13 : Team12 , 3 : 0
Team14 : Team10 , 3 : 6
Team4 : Team3 , 5 : 8
Team15 : Team3 , 0 : 0
Team12 : Team20 , 7 : 0
Team19 : Team15 , 0 : 3
Team12 : Team9 , 5 : 7
Team9 : Team14 , 5 : 6
Team6 : Team14 , 4 : 6
Team17 : Team14 , 5 : 8
Team4 : Team15 , 7 : 4
Team20 : Team18 , 6 : 9
Team11 : Team20 , 0 : 7
Team8 : Team1 , 0 : 1
Team3 : Team11 , 3 : 3
Team13 : Team19 , 5 : 5
Team9 : Team16 , 2 : 6
Team3 : Team3 , 7 : 0
Team12 : Team12 , 8 : 3
Team16 : Team5 , 5 : 8
Team6 : Team2 , 0 : 2
Team10 : Team2 , 9 : 2
Team14 : Team9 , 1 : 6
Team16 : Team4 , 2 : 7
Team6 : Team19 , 7 : 8
Team1 : Team2 , 3 : 8
Team14 : Team12 , 6 : 2
Team15 : Team19 , 2 : 3
Team1 : Team4 , 1 : 10
Team3 : Team11 , 10 : 3
Team6 : Team20 , 0 : 6
Team20 : Team3 , 6 : 3
Team15 : Team8 , 10 : 4
Team1 : Team11 , 9 : 9
Team5 : Team12 , 1 : 7
Team1 : Team2 , 9 : 9
Team17 : Team20 , 5 : 0
Team3 : Team1 , 6 : 4
Team5 : Team11 , 0 : 6
Team16 : Team5 , 7 : 6
Team7 : Team6 , 1 : 3
Team10 : Team5 , 6 : 3
Team1 : Team5 , 10 : 4
Team1 : Team20 , 6 : 6
Team13 : Team12 , 7 : 1
Team18 : Team6 , 9 : 4
Team11 : Team9 , 3 : 3
Team1 : Team13 , 5 : 3
Team5 : Team1 , 7 : 3
Team2 : Team5 , 10 : 1
Team7 : Team10 , 4 : 5
Team11 : Team15 , 10 : 4
Team5 : Team6 , 0 : 6
Team17 : Team9 , 6 : 4
Team14 : Team12 , 3 : 5
Team6 : Team13 , 7 : 3
Team6 : Team14 , 1 : 10
Team6 : Team11 , 2 : 6
Team18 : Team8 , 2 : 0
Team4 : Team13 , 0 : 1
Team18 : Team20 , 8 : 6
Team12 : Team3 , 9 : 9
Team20 : Team5 , 8 : 4
Team20 : Team6 , 1 : 9
Team19 : Team10 , 5 : 0
Team2 : Team3 , 4 : 4
Team10 : Team4 , 6 : 7
Team7 : Team4 , 3 : 7
Team14 : Team1 , 6 : 0
Team15 : Team9 , 4 : 5
Team4 : Team5 , 0 : 10
Team4 : Team8 , 3 : 2
Team20 : Team20 , 7 : 0
Team12 : Team6 , 10 : 10
Team18 : Team16 , 9 : 6
Team19 : Team10 , 4 : 6
Team4 : Team12 , 3 : 2
Team10 : Team10 , 3 : 3
Team5 : Team15 , 10 : 10
Team10 : Team20 , 6 : 8
Team8 : Team11 , 7 : 6
Team11 : Team20 , 7 : 3
Team4 : Team18 , 0 : 7
Team6 : Team6 , 0 : 9
Team9 : Team10 , 3 : 6
Team13 : Team14 , 8 : 5
Team8 : Team15 , 3 : 8
Team18 : Team13 , 2 : 9
Team3 : Team4 , 9 : 2
Team20 : Team20 , 1 : 0
Team18 : Team9 , 8 : 8
Team12 : Team7 , 10 : 10
Team11 : Team13 , 5 : 6
Team2 : Team3 , 2 : 0
Team17 : Team4 , 0 : 1
Team13 : Team18 , 7 : 6
Team16 : Team17 , 6 : 8
Team18 : Team10 , 6 : 3
Team10 : Team5 , 10 : 6
Team6 : Team7 , 6 : 5
Team4 : Team5 , 9 : 0
Team8 : Team1 , 9 : 4
Team11 : Team2 , 4 : 8
Team18 : Team20 , 2 : 9
Team15 : Team5 , 5 : 3
Team17 : Team19 , 4 : 5
Team2 : Team4 , 3 : 7
Team9 : Team16 , 8 : 9
Team16 : Team13 , 8 : 9
Team11 : Team4 , 5 : 1
Team4 : Team2 , 1 : 8
Team15 : Team7 , 10 : 8
Team14 : Team7 , 1 : 10
Team16 : Team5 , 5 : 2
Team12 : Team5 , 2 : 4
Team16 : Team2 , 0 : 4
Team19 : Team10 , 7 : 10
Team9 : Team5 , 4 : 8
Team5 : Team7 , 1 : 5
Team5 : Team9 , 9 : 3
Team18 : Team7 , 1 : 5
Team6 : Team6 , 10 : 3
Team19 : Team17 , 6 : 3
Team14 : Team10 , 8 : 7
Team10 : Team10 , 1 : 4
Team7 : Team3 , 8 : 6
Team8 : Team10 , 5 : 8
Team8 : Team15 , 4 : 8
Team17 : Team2 , 3 : 2
Team12 : Team16 , 9 : 10
Team3 : Team13 , 5 : 6
Team3 : Team17 , 8 : 10
Team7 : Team16 , 3 : 2
Team11 : Team16 , 10 : 5
Team18 : Team10 , 6 : 1
Team17 : Team17 , 5 : 2
Team14 : Team20 , 10 : 5
Team2 : Team11 , 8 : 7
Team17 : Team9 , 10 : 3
Team20 : Team10 , 3 : 10
Team17 : Team4 , 3 : 6
Team10 : Team20 , 0 : 6
Team2 : Team12 , 3 : 7
Team15 : Team9 , 5 : 4
Team11 : Team5 , 7 : 3
Team6 : Team8 , 4 : 9
Team16 : Team15 , 1 : 0
Team17 : Team11 , 8 : 6
Team3 : Team19 , 0 : 0
Team13 : Team3 , 2 : 1
Team11 : Team8 , 0 : 0
Team20 : Team17 , 9 : 1
Team2 : Team7 , 0 : 10
Team5 : Team18 , 8 : 2
Team18 : Team5 , 7 : 9
Team5 : Team7 , 8 : 9
Team6 : Team16 , 6 : 3
Team8 : Team19 , 10 : 1
Team9 : Team12 , 7 : 0
Team3 : Team4 , 3 : 7
Team5 : Team17 , 0 : 5
Team13 : Team14 , 7 : 3
Team7 : Team15 , 5 : 7
Team16 : Team9 , 8 : 2
Team8 : Team6 , 5 : 5
Team12 : Team13 , 7 : 4
Team6 : Team5 , 10 : 5
Team5 : Team1 , 5 : 6
Team8 : Team14 , 5 : 1
Team6 : Team12 , 7 : 4
Team15 : Team2 , 4 : 7
